,id,casts,genres,title,vote_count,ratings
45,511809,"[1159982, 2217977, 13299]","[{'name': '드라마'}, {'name': '로맨스'}, {'name': '범죄'}]",웨스트 사이드 스토리,531,7.5
46,806704,[11288],"[{'name': '범죄'}, {'name': '드라마'}, {'name': '액션'}]",Untitled The Batman Sequel,0,0.0
47,928381,"[1077537, 10917, 224150]","[{'name': '액션'}, {'name': '스릴러'}, {'name': '범죄'}]",레스틀리스,93,5.9
48,550988,"[10859, 1388593, 1467219]","[{'name': '코미디'}, {'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",프리 가이,5143,7.7
49,739413,"[56734, 1377458, 557579]","[{'name': 'SF'}, {'name': '스릴러'}]",마더/안드로이드,420,5.8
50,460465,"[1610940, 136347, 189230]","[{'name': '액션'}, {'name': '판타지'}, {'name': '모험'}]",모탈 컴뱃,4441,7.2
51,508943,"[1277188, 1774679, 2990400]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '판타지'}]",루카,5876,8.0
52,928769,"[226564, 127449, 1854214]","[{'name': '코미디'}, {'name': '로맨스'}, {'name': 'SF'}]",AI가 당신을 사랑해요,16,5.3
53,926980,"[1686299, 1291450, 1825263]",[{'name': '공포'}],더 프리빌리지,103,5.1
54,370172,"[8784, 121529, 17838]","[{'name': '모험'}, {'name': '액션'}, {'name': '스릴러'}]",007 노 타임 투 다이,3602,7.5
55,877183,"[198, 200, 5586]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '판타지'}]",심슨 가족의 플러스 기념일,251,6.6
56,436969,"[234352, 17605, 56446]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",더 수어사이드 스쿼드,5677,7.7
57,791373,"[880, 73968, 90633]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}, {'name': 'SF'}]",잭 스나이더의 저스티스 리그,7402,8.3
58,829358,"[1723918, 10210, 1503397]",[{'name': '공포'}],Queen of Spades,35,6.4
59,516329,"[41292, 88124, 1890584]","[{'name': '드라마'}, {'name': '공포'}, {'name': '미스터리'}]",앤틀러스,541,6.4
60,438631,"[1190668, 933238, 25072]","[{'name': 'SF'}, {'name': '모험'}]",듄,6215,7.9
61,929472,"[1291890, 2836221, 112566]","[{'name': '미스터리'}, {'name': '가족'}]",이랙스,12,5.7
62,939336,"[1217648, 1382187, 84213]","[{'name': '애니메이션'}, {'name': '코미디'}]",The Wonderful Winter of Mickey Mouse,3,5.7
63,589754,"[1257126, 1309706, 107727]","[{'name': '판타지'}, {'name': '모험'}, {'name': '코미디'}]",Последний богатырь: Корень зла,89,7.1
64,763788,"[928572, 2461, 8169]","[{'name': '액션'}, {'name': '스릴러'}]",데인저러스,173,6.4
65,774741,"[2239159, 2295755, 1882895]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}]",윔피 키드,187,6.5
66,522402,"[31, 572541, 1457107]","[{'name': 'SF'}, {'name': '드라마'}, {'name': '모험'}]",핀치,2065,8.1
67,930701,"[25911, 150446, 224321]","[{'name': '코미디'}, {'name': '드라마'}]","Sex, Shame and Tears 2",5,2.2
68,675445,"[1684536, 2412016, 3044930]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '모험'}, {'name': '코미디'}]",퍼피 구조대 더 무비,852,7.5
69,811072,"[19827, 107927, 24980]","[{'name': '스릴러'}, {'name': '공포'}]",2,205,5.4
70,644495,"[237405, 1023139, 7499]","[{'name': '드라마'}, {'name': '범죄'}, {'name': '스릴러'}]",하우스 오브 구찌,1261,6.8
71,933357,"[2065253, 2545917, 1575443]","[{'name': '드라마'}, {'name': '로맨스'}]",너는 나의 UFO,13,5.0
72,744275,"[1753914, 1114487, 20805]","[{'name': '로맨스'}, {'name': '드라마'}]",애프터: 관계의 함정,1551,7.2
73,268,"[2232, 514, 326]","[{'name': '판타지'}, {'name': '액션'}]",배트맨,6098,7.2
74,337404,"[54693, 7056, 54811]","[{'name': '코미디'}, {'name': '범죄'}]",크루엘라,6662,8.2
75,385128,"[12835, 17647, 8169]","[{'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}, {'name': '모험'}]",분노의 질주: 더 얼티메이트,5082,7.3
76,592508,"[35070, 81869, 42803]","[{'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}]",수리아반시,93,5.8
